route_id,service_id,trip_id,shape_id,trip_headsign,direction_id
"2-FKN-F-mjp-1","T0","61.T0.2-FKN-F-mjp-1.20.R","2-FKN-F-mjp-1.20.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","65.T0.2-FKN-F-mjp-1.20.R","2-FKN-F-mjp-1.20.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","69.T0.2-FKN-F-mjp-1.20.R","2-FKN-F-mjp-1.20.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","73.T0.2-FKN-F-mjp-1.20.R","2-FKN-F-mjp-1.20.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","99.T0.2-FKN-F-mjp-1.20.R","2-FKN-F-mjp-1.20.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","154.T0.2-FKN-F-mjp-1.20.R","2-FKN-F-mjp-1.20.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","9932.T0.2-FKN-F-mjp-1.20.R","2-FKN-F-mjp-1.20.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","9944.T0.2-FKN-F-mjp-1.20.R","2-FKN-F-mjp-1.20.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","9948.T0.2-FKN-F-mjp-1.20.R","2-FKN-F-mjp-1.20.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","9952.T0.2-FKN-F-mjp-1.20.R","2-FKN-F-mjp-1.20.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","9955.T0.2-FKN-F-mjp-1.20.R","2-FKN-F-mjp-1.20.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","9959.T0.2-FKN-F-mjp-1.20.R","2-FKN-F-mjp-1.20.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","9963.T0.2-FKN-F-mjp-1.20.R","2-FKN-F-mjp-1.20.R","City (Flinders Street)","1"
"2-FKN-F-mjp-1","T0","9967.T0.2-FKN-F-mjp-1.20.R","2-FKN-F-mjp-1.20.R","City (Flinders Street)","1"
